serverName`appcodefinal`parentName`DeviceType`VirtualHostName`OnesourceClusterName`DataCentre`HostedAppcode
SE113563V`YLX0`riausyparks46sf2`SWITCH-ROUTER`N/A`AUS-CLU-PROD-01`2 PARK`YLX0
SE113564V`YLX0`riausyparks46sf2`SWITCH-ROUTER`N/A`AUS-CLU-PROD-01`2 PARK`YLX0
SE117681`LR00`riausyparkr46ma1`SWITCH-ROUTER`SE113564V`AUS-CLU-PROD-01`2 PARK`LR00
SE117682`LR00`riausyparkr46mb1`SWITCH-ROUTER`SE113562V`AUS-CLU-PROD-01`2 PARK`LR00
SE117683`LR00`riausyrhods01sf1`SWITCH`SE113565V`AUS-CLU-DR-01`2 PARK`LR00
SE117684`LR00`riausyrhods01sf1`SWITCH`SE111190V`AUS-CLU-UAT-01`2 PARK`LR00
SE117770`WDY0`riausyparks46sf2`SWITCH-ROUTER`SE111190V`AUS-CLU-UAT-01`2 PARK`WDY0
SE117794`WDY0`riausyparks46sf2`SWITCH-ROUTER`SE111189V`AUS-CLU-UAT-01`2 PARK`WDY0
SE117795`WDY0`riausyparks46sf2`SWITCH-ROUTER`SE111190V`AUS-CLU-UAT-01`2 PARK`WDY0
SE117796`WDY0`riausyparks46sf1`SWITCH-ROUTER`SE111191V`AUS-CLU-PROD-01`2 PARK`WDY0
SE117797`WDY0`riausyparks46sf1`SWITCH-ROUTER`SE113563V`AUS-CLU-PROD-01`2 PARK`WDY0
